Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
-;Pt 3-5d Triplex;18/09/2024 08:22;08:32:34;84;10;1,1;142;875
-;Triplex 6d F14;18/09/2024 09:22;10:05:28;100;43;0,9;509;716
-;F14 Pt9 H;18/09/2024 10:24;10:28:17;7;4;0,5;28;427
-;Porte 1-3d H;20/09/2024 07:34;07:42:52;11;8;0,9;91;692
-;Porte 1-3d H;20/09/2024 07:44;07:47:19;15;3;0,9;37;721
-;Porte 1-3d H;20/09/2024 07:50;08:38:48;100;49;1;671;832
-;Pt 3-5d Triplex;20/09/2024 09:03;09:17:19;19;14;0,9;177;763
-;Triplex 6d F14;20/09/2024 09:47;09:54:20;10;6;0,6;52;481
-;Triplex 6d F14;20/09/2024 10:04;10:56:48;100;52;0,8;530;611
-;Pt 14d Triplex;20/09/2024 13:54;14:18:20;100;24;1,2;369;931
-;Triplex 17d H;20/09/2024 14:20;14:30:59;30;11;1;147;827
-;Pt 3-5d Triplex;21/09/2024 08:37;09:08:11;48;31;1;419;813
-;Triplex 6d F14;21/09/2024 09:32;10:10:08;73;37;0,8;377;611
-;F14 Pt9 H;21/09/2024 10:11;10:15:56;7;5;0,5;30;379
-;Pt 3-5d Triplex;22/09/2024 10:25;10:27:34;3;2;0,6;20;513
-;Pt 3-5d Triplex;30/09/2024 09:23;09:55:26;50;32;1;446;837
-;Pt 3-5d Triplex;30/09/2024 09:56;10:09:49;73;14;1,1;198;865
-;Triplex 6d F14;30/09/2024 11:23;11:38:00;25;15;0,7;134;545
-;Pt 3-5d Triplex;30/09/2024 09:23:19;09:55:26;50;32;1;446;837
-;Pt 3-5d Triplex;30/09/2024 09:56:00;10:09:49;73;14;1,1;198;865
-;Triplex 6d F14;30/09/2024 11:23:10;11:38:00;25;15;0,7;134;545
-;Pt 3-5d Triplex;01/10/2024 07:42:44;08:10:12;46;27;1,1;390;856
-;Pt 12-14d H;01/10/2024 08:24:14;08:51:09;82;27;1,1;403;901
-;Pt 12-14d H;01/10/2024 08:51:48;08:57:51;100;6;1,1;86;854
-;Triplex 6d F14;01/10/2024 09:23:32;10:04:05;94;41;0,9;471;700
-;F14 Pt9 H;01/10/2024 10:15:43;10:58:51;97;43;0,7;379;529
-;Triplex 6d F14;02/10/2024 07:55:27;08:37:14;100;42;0,9;504;726
-;Pt 3-5d Triplex;02/10/2024 09:58:00;10:00:43;3;3;0,8;31;676
-;F14 Pt9 H;02/10/2024 10:23:12;11:04:28;100;41;0,7;384;560
-;Pt 3-5d Triplex;03/10/2024 07:36:40;08:19:39;75;43;1,1;639;895
-;Triplex 6d F14;03/10/2024 08:55:41;09:09:27;25;14;0,7;129;563
-;Triplex 6d F14;03/10/2024 09:11:13;09:27:55;64;17;0,9;199;718
-;Triplex 6d F14;03/10/2024 09:30:22;09:43:36;91;13;0,8;147;666
-;F14 Pt9 H;03/10/2024 09:52:09;09:56:56;7;5;0,5;30;377
-;F14 Pt9 H;03/10/2024 09:57:26;10:30:33;100;33;0,8;346;629
-;Porte 1-3d H;06/10/2024 07:10:56;08:07:06;100;56;1,1;799;856
-;Pt 3-5d Triplex;06/10/2024 08:40:57;08:53:08;17;12;0,9;150;740
-;Pt 3-5d Triplex;06/10/2024 08:55:08;09:31:17;84;36;1,2;574;956
-;Pt 3-5d Triplex;06/10/2024 10:07:04;10:09:26;90;2;0,9;29;739
-;Pt 3-5d Triplex;06/10/2024 10:11:05;10:14:54;94;4;0,9;45;700
-;Pt 3-5d Triplex;06/10/2024 10:15:55;10:18:16;96;2;1;32;833
-;Pt 3-5d Triplex;06/10/2024 10:23:04;10:25:28;100;2;0,9;29;734
-;Triplex 6d F14;06/10/2024 10:44:30;11:11:37;52;27;0,7;269;597
