Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
-;F14 Pt9 H;16/07/2024 10:11:46;10:15:46;7;4;0,4;24;364
-;F14 Pt9 H;16/07/2024 10:23:11;10:26:51;7;4;0,6;28;464
-;Triplex 17d H;16/07/2024 11:56:50;12:56:06;100;59;0,7;581;590
-;Pt 14d Triplex;16/07/2024 13:06:59;13:09:00;6;2;1;27;795
-;Depart loc a13D;16/07/2024 22:35:24;22:36:05;100;1;3,8;0;0
-;escaFIL14 a 12D;16/07/2024 22:38:18;23:53:25;73;75;2,2;2241;1796
-;escaFIL14 a 12D;17/07/2024 00:13:34;01:32:43;82;79;2,4;2552;1941
-;escaFIL14 a 12D;17/07/2024 01:44:39;01:55:35;92;11;2;299;1645
-;escaFIL14 a 12D;17/07/2024 01:59:47;02:10:00;100;10;2,2;258;1520
-;12D a 13D;17/07/2024 02:10:33;03:14:57;90;64;2,2;1869;1747
-;Porte 1-3d H;17/07/2024 07:40:49;08:35:57;92;55;1;739;807
-;Pt 3-5d Triplex;17/07/2024 09:13:53;09:29:38;21;16;0,9;191;731
-;Pt 14d Triplex;17/07/2024 10:00:16;10:23:38;85;23;1;325;837
-;Pt 14d Triplex;17/07/2024 10:27:27;10:31:28;100;4;1,2;63;948
-;Depart loc a13D;17/07/2024 23:48:05;23:49:46;100;2;3,7;0;0
-;escaFIL14 a 12D;17/07/2024 23:50:49;00:51:21;60;61;2,3;1833;1822
-;escaFIL14 a 12D;18/07/2024 01:04:32;01:34:22;92;30;2,5;1005;2027
-;Porte 1-3d H;18/07/2024 08:08:52;08:46:27;62;38;1;506;811
-;Porte 1-3d H;18/07/2024 08:48:01;09:17:18;100;29;0,8;314;647
-;Pt 3-5d Triplex;18/07/2024 10:10:09;10:13:59;3;4;0,6;31;484
-;Pt 3-5d Triplex;18/07/2024 10:14:37;10:23:57;17;9;1;121;777
-;Pt 3-5d Triplex;18/07/2024 10:25:53;10:37:34;34;12;1;157;809
-;Triplex 17d H;18/07/2024 10:55:18;11:29:47;100;34;1,1;523;914
12 D a 8 D;Depart loc a13D;18/07/2024 22:21:33;22:23:11;100;2;3,5;0;0
12 D a 8 D;escaFIL14 a 12D;18/07/2024 22:23:49;22:29:14;3;5;1,4;82;906
12 D a 8 D;escaFIL14 a 12D;18/07/2024 22:31:36;23:26:24;33;55;1,3;943;1036
12 D a 8 D;escaFIL14 a 12D;18/07/2024 23:27:20;23:33:45;40;6;2;176;1648
12 D a 8 D;escaFIL14 a 12D;18/07/2024 23:45:33;00:33:57;92;48;2,6;1669;2076
-;13D a 14D;19/07/2024 01:40:26;02:25:21;100;45;2,8;1676;2247
-;12D a 13D;19/07/2024 02:25:57;02:46:45;30;21;2,4;671;1941
-;Porte 1-3d H;19/07/2024 07:44:59;07:52:38;9;8;0,8;85;669
-;Porte 1-3d H;19/07/2024 08:41:37;09:19:35;62;38;1;512;812
-;Pt 3-5d Triplex;19/07/2024 09:33:45;09:48:07;21;14;1;190;794
-;Triplex 6d F14;19/07/2024 10:31:27;10:37:31;10;6;0,6;52;514
-;Porte 9-11d H;19/07/2024 11:04:26;11:15:26;34;11;0,8;122;669
-;Porte 9-11d H;19/07/2024 11:16:24;11:28:18;73;12;0,9;143;724
-;Pt 12-14d H;19/07/2024 11:34:04;11:35:30;4;1;0,8;15;644
-;Pt 12-14d H;19/07/2024 11:37:58;11:40:04;12;2;1;28;787
-;Triplex 17d H;19/07/2024 11:58:07;12:07:22;26;9;1;127;828
