Task start time;End time;Map name;Cleaning plan;Robot name;S/N;User;Task completion (%);Cleaning plan area (?);Total time;Total time (h);Actual cleaning area(?);Work efficiency (?/h);Water usage (L);Start battery level (%);End battery level (%);Remaining life of consumables;Remaining life of consumables;Remaining life of consumables;Planned crystallization area (?);Actual crystallization area (?);Receive task report time;Task start mode;Uncleaned area (?);Plan running time (s);Task type;Remarks;Download link;Task status
2024-09-18 23:31:52;2024-09-19 02:22:12;Porte_K_CorrespondanceF2_BS;Correspondance_F2;Atalian_Roissy;GS142-0230-J4P-P000;admin;93.90;1,375.09;2 h 39 min 10 sec;2.6528;1,290.67;486.50;0;99;21;100.00;100.00;100.00;;;2024-09-19 08:21:55;normal;84.41;01: 54: 35;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/8473421b-189d-4dbb-8679-2b9ed8dc2a6e;Normal end
2024-09-17 23:22:46;2024-09-18 23:30:23;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_Roissy;GS142-0230-J4P-P000;admin;81.80;1,638.02;3 h 2 min 9 sec;3.0358;1,339.20;441.10;0;99;99;100.00;100.00;100.00;;;2024-09-19 05:30:05;normal;298.82;02: 16: 30;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/a242b897-64fb-48d4-a09c-bc0faf61a37c;Manual termination
2024-09-17 07:59:34;2024-09-17 09:31:35;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;91.40;602.70;1 h 9 min 2 sec;1.1506;550.58;478.52;0;99;62;100.00;100.00;100.00;;;2024-09-17 15:31:22;normal;52.12;00: 50: 13;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/573f433a-1371-4a66-abe0-62dd36a099bf;Normal end
2024-09-16 23:27:46;2024-09-17 02:19:48;Porte_K_CorrespondanceF2_BS;Correspondance_F2;Atalian_Roissy;GS142-0230-J4P-P000;admin;93.90;1,377.86;2 h 41 min 6 sec;2.6850;1,293.98;481.93;0;99;22;100.00;100.00;100.00;;;2024-09-17 08:19:33;normal;83.88;01: 54: 49;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/af400ecc-cff1-40fc-b9f4-a8aa9b5851ab;Normal end
2024-09-15 10:18:09;2024-09-15 11:05:21;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;65.70;600.48;0 h 35 min 29 sec;0.5914;394.57;666.89;0;68;50;100.00;100.00;100.00;;;2024-09-15 17:05:28;normal;205.91;00: 50: 02;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/935db8dd-d4be-431d-bc30-a5ecca3d31be;Manual termination
2024-09-15 09:05:47;2024-09-15 10:15:55;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;93.00;601.99;0 h 58 min 23 sec;0.9731;559.64;574.98;0;97;68;100.00;100.00;100.00;;;2024-09-15 16:16:01;normal;42.35;00: 50: 09;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/4bb5038a-2a98-4f61-a572-565551227ee6;Normal end
2024-09-14 09:15:52;2024-09-14 10:32:59;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;91.40;601.94;1 h 2 min 5 sec;1.0347;550.35;531.83;0;99;67;100.00;100.00;100.00;;;2024-09-14 16:32:56;normal;51.59;00: 50: 09;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/a817f511-7c59-4286-a618-47a80ecfc2cc;Normal end
2024-09-13 23:51:22;2024-09-14 02:54:33;Porte_K_CorrespondanceF2_BS;Correspondance_F2;Atalian_Roissy;GS142-0230-J4P-P000;admin;94.20;1,375.09;2 h 50 min 56 sec;2.8489;1,294.86;454.50;0;99;19;100.00;100.00;100.00;;;2024-09-14 08:54:21;normal;80.23;01: 54: 35;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/aac6fc86-5b28-48a1-90ec-a57c94de69ab;Normal end
2024-09-13 09:05:51;2024-09-13 11:35:57;coursives_F1;Correspondance_F1_K1;Atalian_Roissy;GS142-0230-J4P-P000;admin;92.50;993.21;2 h 14 min 2 sec;2.2339;918.80;411.26;0;99;31;100.00;100.00;100.00;;;2024-09-13 17:35:49;normal;74.40;01: 22: 46;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/d2042feb-d176-4075-8fc2-da5fd4b697c1;Normal end
2024-09-12 23:36:21;2024-09-13 03:37:20;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_Roissy;GS142-0230-J4P-P000;admin;81.60;1,630.24;3 h 0 min 16 sec;3.0044;1,329.55;442.51;0;99;7;100.00;100.00;100.00;;;2024-09-13 09:37:07;normal;300.69;02: 15: 51;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/c08d2b18-5b52-4f83-b7b4-d6ed56cc1bc6;Manual termination
2024-09-11 22:49:08;2024-09-12 01:42:39;Porte_K_CorrespondanceF2_BS;Correspondance_F2;Atalian_Roissy;GS142-0230-J4P-P000;admin;93.60;1,376.33;2 h 41 min 0 sec;2.6833;1,288.58;480.18;0;99;20;100.00;100.00;100.00;;;2024-09-12 07:42:29;normal;87.75;01: 54: 41;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/11f39127-0f03-470c-8ec1-b8a4d747d508;Normal end
2024-09-10 23:14:10;2024-09-11 22:47:53;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_Roissy;GS142-0230-J4P-P000;admin;84.50;1,623.83;3 h 2 min 2 sec;3.0339;1,371.50;452.02;0;99;99;100.00;100.00;100.00;;;2024-09-12 04:47:45;normal;252.34;02: 15: 19;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/6777082d-fe4d-4c51-b531-94f3a600ccf9;Manual termination
2024-09-10 10:48:42;2024-09-10 12:11:13;coursives_F2;Coursives_F2_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;92.10;599.00;1 h 3 min 23 sec;1.0564;551.62;522.06;0;58;25;100.00;100.00;100.00;;;2024-09-10 18:11:07;normal;47.38;00: 49: 54;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/7a539f13-6527-4181-8644-9284d6fda9af;Normal end
2024-09-10 08:31:55;2024-09-10 09:57:34;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;92.40;601.38;1 h 7 min 42 sec;1.1283;555.82;492.49;0;97;62;100.00;100.00;100.00;;;2024-09-10 15:57:30;normal;45.57;00: 50: 06;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/204bca07-4c96-4b1e-b00f-5ed797af3934;Normal end
2024-09-09 22:41:23;2024-09-10 01:43:18;Porte_K_CorrespondanceF2_BS;Correspondance_F2;Atalian_Roissy;GS142-0230-J4P-P000;admin;93.90;1,376.71;2 h 47 min 54 sec;2.7983;1,293.31;462.15;0;98;15;100.00;100.00;100.00;;;2024-09-10 07:43:10;normal;83.40;01: 54: 43;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/7021a1ea-5ed4-483b-99de-e47b70873111;Normal end
2024-09-07 00:13:59;2024-09-09 22:38:13;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_Roissy;GS142-0230-J4P-P000;admin;64.60;1,629.28;3 h 4 min 29 sec;3.0747;1,052.97;342.43;0;99;99;100.00;100.00;100.00;;;2024-09-10 04:38:03;normal;576.31;02: 15: 46;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/17da0694-2681-4388-987c-340933319853;Manual termination
2024-09-06 01:41:07;2024-09-06 01:41:52;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_Roissy;GS142-0230-J4P-P000;admin;0.00;1,583.74;0 h 0 min 0 sec;0.0000;0.00;0.00;0;76;76;100.00;100.00;100.00;;;2024-09-06 07:41:46;normal;1,583.74;02: 11: 58;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/dde617ac-936c-4cb9-a55d-bfd43d09f90f;Manual termination
2024-09-05 22:47:24;2024-09-06 01:40:50;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_Roissy;GS142-0230-J4P-P000;admin;3.50;1,588.13;0 h 24 min 4 sec;0.4011;56.21;140.06;0;99;76;100.00;100.00;100.00;;;2024-09-06 07:40:59;normal;1,531.92;02: 12: 20;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/7dafb890-e612-489f-85c3-ae3a76a5e8a7;Manual termination
2024-09-05 10:51:55;2024-09-05 12:12:31;coursives_F2;Coursives_F2_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;90.70;598.49;1 h 1 min 38 sec;1.0272;542.53;528.04;0;71;39;100.00;100.00;100.00;;;2024-09-05 18:12:25;normal;55.95;00: 49: 52;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/41615046-32e3-4174-88ac-737d5d08b278;Normal end
2024-09-05 08:28:56;2024-09-05 09:25:51;coursives_F1;Coursive_F1_Fusion;Atalian_Roissy;GS142-0230-J4P-P000;admin;58.10;598.84;0 h 40 min 44 sec;0.6789;347.98;512.40;0;99;77;100.00;100.00;100.00;;;2024-09-05 15:25:47;normal;250.85;00: 49: 54;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/0f985653-e248-4e98-aee9-0b24171d9a83;Normal end
2024-09-04 23:50:49;2024-09-05 02:57:12;Porte_K_CorrespondanceF2_BS;Correspondance_F2;Atalian_Roissy;GS142-0230-J4P-P000;admin;93.80;1,384.04;2 h 51 min 19 sec;2.8553;1,297.59;454.45;0;99;16;100.00;100.00;100.00;;;2024-09-05 08:57:07;normal;86.45;01: 55: 20;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/c2ceee85-25d8-4fbd-9535-e0887d87bca6;Normal end
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
