Task start time;End time;Map name;Cleaning plan;Robot name;S/N;User;Task completion (%);Cleaning plan area (?);Total time;Total time (h);Actual cleaning area(?);Work efficiency (?/h);Water usage (L);Start battery level (%);End battery level (%);Remaining life of consumables;Remaining life of consumables;Remaining life of consumables;Planned crystallization area (?);Actual crystallization area (?);Receive task report time;Task start mode;Uncleaned area (?);Plan running time (s);Task type;Remarks;Download link;Task status
13/07/2024 12:12;13/07/2024 13:31;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.40;598.00;1 h 0 min 40 sec;1.0111;552.54;546.41;0;62;33;100.00;100.00;100.00;;;13/07/2024 21:51;normal;45.46;00:49:50;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/05647db4-402c-4734-893c-47518a361a58;Normal end
13/07/2024 15:52;13/07/2024 17:16;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;91.96;598.40;1 h 1 min 52 sec;1.0311;550.29;533.62;0;99;69;100.00;100.00;100.00;;;13/07/2024 23:16;normal;48.11;00:49:51;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/d2ae98e8-ef7e-46ae-9a86-b2ca5bb2ea60;Normal end
14/07/2024 08:49;14/07/2024 12:08;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;92.84;994.16;2 h 38 min 11 sec;2.6364;922.94;350.07;0;99;15;100.00;100.00;100.00;;;14/07/2024 18:08;normal;71.22;01:22:50;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/ce2ff760-faea-46f2-b47b-08c27c49c4d3;Normal end
14/07/2024 16:29;14/07/2024 17:47;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.10;598.17;0 h 59 min 59 sec;0.9997;550.92;551.02;0;99;71;100.00;100.00;100.00;;;14/07/2024 23:47;normal;47.25;00:49:50;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/6ba2902c-4311-4753-830b-2a4406caddf7;Normal end
15/07/2024 10:02;15/07/2024 11:18;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;91.89;598.19;0 h 57 min 49 sec;0.9636;549.68;570.30;0;99;72;100.00;100.00;100.00;;;15/07/2024 17:18;normal;48.51;00:49:50;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/79980387-266d-4852-a00e-cd53ce885c41;Normal end
15/07/2024 15:31;15/07/2024 16:57;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.02;599.86;1 h 2 min 29 sec;1.0414;551.96;529.91;0;99;70;100.00;100.00;100.00;;;15/07/2024 22:57;normal;47.90;00:49:59;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/2aa10089-6f07-42be-929b-0561dfceb04d;Normal end
15/07/2024 23:49;16/07/2024 08:31;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_ADP;GS142-0230-J4P-P000;user;85.97;1,623.91;3 h 12 min 43 sec;3.2119;1,396.10;434.64;0;99;99;100.00;100.00;100.00;;;16/07/2024 14:31;normal;227.81;02:15:19;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/2a241da7-6d65-4cd3-9d23-901dc6090013;Manual termination
16/07/2024 08:37;16/07/2024 10:01;coursives_F1;Coursive_F1_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.41;601.72;1 h 3 min 12 sec;1.0533;556.07;527.86;0;98;67;100.00;100.00;100.00;;;16/07/2024 16:01;normal;45.66;00:50:08;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/266bb8eb-ff9b-4485-8a25-c60a4ae88e95;Normal end
16/07/2024 11:43;16/07/2024 13:07;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;91.86;598.77;1 h 1 min 32 sec;1.0256;550.02;536.23;0;61;30;100.00;100.00;100.00;;;16/07/2024 19:07;normal;48.75;00:49:53;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/fe1c0687-8147-4654-ad9a-0bda6facfce9;Normal end
16/07/2024 16:07;16/07/2024 22:51;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;75.41;990.55;1 h 41 min 41 sec;1.6947;746.98;440.76;0;98;99;100.00;100.00;100.00;;;17/07/2024 04:51;normal;243.57;01:22:32;aspiration;00:00:00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/3b509032-8550-4a29-acb5-f4ec26c0acac;Manual termination
