Task start time;End time;Map name;Cleaning plan;Robot name;S/N;User;Task completion (%);Cleaning plan area (?);Total time;Total time (h);Actual cleaning area(?);Work efficiency (?/h);Water usage (L);Start battery level (%);End battery level (%);Remaining life of consumables;Remaining life of consumables;Remaining life of consumables;Planned crystallization area (?);Actual crystallization area (?);Receive task report time;Task start mode;Uncleaned area (?);Plan running time (s);Task type;Remarks;Download link;Task status
Task start time;End time;Map name;Cleaning plan;Robot name;S/N;User;Task completion (%);Cleaning plan area (?);Total time;Total time (h);Actual cleaning area(?);Work efficiency (?/h);Water usage (L);Start battery level (%);End battery level (%);Brush (%);Filter (%);Squeegee(%);Planned crystallization area (?);Actual crystallization area (?);Receive task report time;Task start mode;Uncleaned area (?);Plan running time (s);Task type;Remarks;Download link;Task status
2024-07-19 08:53:01;2024-07-19 13:50:39;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;71.80;989.44;3 h 9 min 56 sec;3.1656;710.39;224.40;0;98;5;100.00;100.00;100.00;;;2024-07-19 19:50:34;normal;279.05;01: 22: 27;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/f8ee97d8-f09b-45d3-9507-a9a3919e0799;Manual termination
2024-07-19 08:29:43;2024-07-19 08:51:32;coursives_F1;Correspondance_F1_K1;Atalian_ADP;GS142-0230-J4P-P000;user;0.00;982.15;0 h 0 min 0 sec;0.0000;0.00;0.00;0;99;98;100.00;100.00;100.00;;;2024-07-19 14:51:26;normal;982.15;01: 21: 50;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/056371f0-baff-4a47-aa9b-7f9ed2f9b591;Manual termination
2024-07-18 22:59:39;2024-07-19 08:23:12;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_ADP;GS142-0230-J4P-P000;user;87.43;1,624.05;3 h 12 min 36 sec;3.2100;1,419.89;442.31;0;99;99;100.00;100.00;100.00;;;2024-07-19 14:23:06;normal;204.16;02: 15: 20;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/4da12877-3272-4af8-a73f-5d4826eaf5d6;Manual termination
2024-07-18 17:11:28;2024-07-18 19:59:54;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.34;598.34;2 h 27 min 53 sec;2.4647;552.53;224.16;0;91;22;100.00;100.00;100.00;;;2024-07-19 01:59:47;normal;45.81;00: 49: 51;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/68308e4d-8676-4bd1-b7e1-1755b4f1b812;Normal end
2024-07-18 09:18:37;2024-07-18 10:27:21;coursives_F1;Coursive_F1_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.81;601.29;0 h 55 min 39 sec;0.9275;558.03;601.55;0;97;71;100.00;100.00;100.00;;;2024-07-18 16:27:21;normal;43.26;00: 50: 06;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/0b27d520-bd90-4958-9326-7743e9c1ac9a;Normal end
2024-07-17 23:23:53;2024-07-18 09:15:03;Porte_K_CorrespondanceF2;K1_K2_Cage_CorrespondanceF2;Atalian_ADP;GS142-0230-J4P-P000;user;90.98;1,625.29;3 h 11 min 29 sec;3.1914;1,478.66;463.31;0;99;97;100.00;100.00;100.00;;;2024-07-18 15:14:55;normal;146.63;02: 15: 26;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/a47439a1-02c6-4a3b-ba0e-91ade5adff24;Manual termination
2024-07-17 16:33:47;2024-07-17 17:52:45;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.02;598.72;0 h 59 min 58 sec;0.9994;550.95;551.12;0;98;79;100.00;100.00;100.00;;;2024-07-17 23:52:43;normal;47.77;00: 49: 53;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/07fedc9a-728a-425a-95ad-62412548fb91;Normal end
2024-07-17 11:08:27;2024-07-17 12:39:05;coursives_F2;Coursives_F2_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;90.71;598.48;1 h 4 min 4 sec;1.0678;542.91;508.39;0;65;33;100.00;100.00;100.00;;;2024-07-17 18:39:15;normal;55.58;00: 49: 52;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/e2546729-d41a-4fa1-845f-c11581c4b3dc;Normal end
2024-07-17 08:49:54;2024-07-17 10:12:01;coursives_F1;Coursive_F1_Fusion;Atalian_ADP;GS142-0230-J4P-P000;user;92.27;601.60;1 h 1 min 30 sec;1.0250;555.10;541.49;0;99;68;100.00;100.00;100.00;;;2024-07-17 16:12:00;normal;46.51;00: 50: 08;aspiration;00: 00: 00;https://api-gateway.gs-robot.com/legacy/public/robot-task/app/report/v3a/png/1/en/74430c4f-471b-4165-909a-b3e92c6fb0b6;Normal end
