Lundi;Mardi;Mercredi;Jeudi;Vendredi;Samedi;Dimanche
Coursive_F1_Fusion;Coursive_F1_Fusion;Coursive_F1_Fusion;Coursive_F1_Fusion;Coursive_F1_Fusion;Coursive_F1_Fusion;Coursive_F1_Fusion
Coursives_F2_Fusion;Coursives_F2_Fusion;Coursives_F2_Fusion;Coursives_F2_Fusion;Coursives_F2_Fusion;Coursives_F2_Fusion;Coursives_F2_Fusion
Correspondance_F1_K1;Correspondance_F1_K1;Correspondance_F1_K1;Correspondance_F1_K1;Correspondance_F1_K1;Correspondance_F1_K1;Correspondance_F1_K1
Correspondance_F2;K1_K2_Cage_CorrespondanceF2;Correspondance_F2;K1_K2_Cage_CorrespondanceF2;Correspondance_F2;Correspondance_F2;K1_K2_Cage_CorrespondanceF2
