Séquence;Parcours;début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
-;14D a 15D;11/07/2024 03:03;03:14:28;100;11;2,4;328;1750
-;Porte 1-3d H;11/07/2024 07:43;07:54:36;13;11;0,8;127;674
-;Porte 1-3d H;11/07/2024 07:55;08:44:25;100;49;1;676;834
-;Pt 3-5d Triplex;11/07/2024 09:06;09:11:33;7;6;0,8;56;610
-;Pt 3-5d Triplex;11/07/2024 09:24;09:30:26;7;6;0,8;59;615
-;Pt 3-5d Triplex;11/07/2024 10:03;11:03:21;94;60;1;770;775
-;Pt 3-5d Triplex;11/07/2024 11:04;11:09:07;100;5;0,9;56;745
-;Depart loc a13D;11/07/2024 22:33;22:35:02;100;2;3,7;0;0
-;12D a 13D;11/07/2024 22:35;23:30:39;71;55;2;1449;1588
-;12D a 13D;11/07/2024 23:49;00:09:07;100;20;2,6;698;2098
-;13D a 14D;12/07/2024 00:09;00:54:30;100;45;2,8;1677;2260
-;14D a 15D;12/07/2024 00:55;01:19:00;60;24;2,4;760;1914
-;14D a 15D;12/07/2024 01:49;02:09:31;100;20;2;516;1508
-;15D a 16D;12/07/2024 02:10;02:23:16;28;13;2,8;458;2093
-;15D a 16D;12/07/2024 03:21;04:02:23;100;41;2,2;1162;1708
-;Porte 1-3d H;12/07/2024 07:52;08:50:49;100;59;1;802;822
-;Triplex 17d H;12/07/2024 09:19;09:53:11;100;34;1,2;522;933
-;Pt 14d Triplex;12/07/2024 10:25;10:27:07;6;2;0,9;23;711
-;Depart loc a13D;12/07/2024 23:05;23:07:11;100;2;3,6;0;0
-;switch 13D a 4D;12/07/2024 23:08;23:11:46;100;4;3,9;0;0
-;8D a esca fil14;12/07/2024 23:12;23:13:35;3;1;3,8;0;0
-;8D a esca fil14;12/07/2024 23:14;00:03:53;80;50;2,1;1397;1696
-;8D a esca fil14;13/07/2024 00:22;00:31:19;94;8;2,3;257;1845
-;Porte 1-3d H;13/07/2024 07:52;08:18:31;30;26;0,7;262;596
-;Pt 14d Triplex;13/07/2024 08:58;09:03:21;16;5;1;63;782
-;Triplex 17d H;13/07/2024 09:22;09:52:40;91;30;1,1;464;919
