Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
Central Brioche;T D centre;19/07/2024 07:17:58;07:19:26;100;1;1,5;29;1193
Central Brioche;L centre;19/07/2024 07:20:01;08:02:42;55;43;1,2;693;978
Central Brioche;L centre;19/07/2024 08:05:23;08:07:59;57;3;1,1;38;879
Central Brioche;L centre;19/07/2024 08:20:41;08:46:08;88;25;1,1;380;899
grouper air fra;L air france;19/07/2024 08:52:03;09:33:52;100;42;1,4;807;1163
grouper air fra;T F af;19/07/2024 09:34:35;09:35:58;100;1;2,3;40;1757
Central Brioche;T D centre;19/07/2024 10:38:59;10:40:18;100;1;1,7;29;1346
Central Brioche;L centre;19/07/2024 10:40:52;11:32:08;67;51;1,2;824;969
Central Brioche;L centre;19/07/2024 12:01:17;12:02:35;69;1;1,1;19;909
Central Brioche;T D centre;23/07/2024 08:47:10;08:48:45;100;2;1,4;29;1105
Central Brioche;L centre;23/07/2024 08:49:20;09:17:30;35;28;1,2;449;960
Central Brioche;L centre;23/07/2024 09:21:12;09:27:23;44;6;1,1;93;909
Central Brioche;T D centre;25/07/2024 09:08:26;09:09:35;100;1;0,8;12;643
Central Brioche;L centre;25/07/2024 09:10:56;09:56:45;59;46;1,2;721;948
Central Brioche;T D centre;30/07/2024 09:27:58;09:29:34;100;2;1,4;29;1094
Central Brioche;L centre;30/07/2024 09:30:07;10:36:00;80;66;1,1;994;909
Central Brioche;T D centre;30/07/2024 12:22:27;12:23:55;100;1;1,4;28;1160
Central Brioche;L centre;30/07/2024 12:24:29;12:48:54;31;24;1,2;391;966
Central Brioche;T D centre;31/07/2024 06:55:04;06:56:24;100;1;1,6;29;1312
Central Brioche;L centre;31/07/2024 06:56:56;07:09:47;16;13;1,2;206;964
Central Brioche;T D centre;31/07/2024 07:41:07;07:41:47;100;1;0,9;8;729
Central Brioche;T D centre;31/07/2024 08:25:39;08:27:06;100;1;1,5;29;1207
Central Brioche;L centre;31/07/2024 08:27:41;08:38:15;14;11;1,2;171;975
Central Brioche;L centre;31/07/2024 08:50:01;08:55:47;21;6;1,2;94;983
Central Brioche;L centre;31/07/2024 09:24:18;09:38:21;41;14;1,2;222;953
Central Brioche;T D centre;31/07/2024 11:02:59;11:07:56;100;5;0,5;35;424
Central Brioche;L centre;31/07/2024 11:07:58;12:17:19;87;69;1,2;1085;943
grouper air fra;L air france;31/07/2024 12:33:36;12:41:28;3;8;0,2;17;130
Central Brioche;T D centre;31/07/2024 12:51:58;12:53:29;100;2;1,4;28;1122
Central Brioche;L centre;31/07/2024 12:53:30;13:02:46;10;9;1,2;155;1005
Central Brioche;T D centre;31/07/2024 16:23:19;16:24:08;100;1;0,8;9;655
-;test kev;03/08/2024 07:34:38;07:40:32;100;6;1,8;140;1433
Central Brioche;T D centre;05/08/2024 09:20:15;09:21:45;100;2;1,4;29;1166
Central Brioche;L centre;05/08/2024 09:21:47;10:06:03;55;44;1,2;710;967
