Séquence;Parcours;Début;Fin;"Terminer
à [%]";"Durée
[mn]";"Vitesse moyenne
[km/h]";"Surface
propre [mq]";"Productivité
horaire [mq/h]"
Central Brioche;L novotel;16/09/2024 08:00;08:17:44;100;17;1,7;394;1388
Central Brioche;L brioche;16/09/2024 08:18;09:24:07;100;66;0,7;616;564
Central Brioche;T F brioche;16/09/2024 09:24;09:30:24;100;6;2;151;1581
grouper air fra;Parcours 5;16/09/2024 09:44;10:26:54;100;43;1,4;804;1133
grouper air fra;T F af;16/09/2024 10:27;10:29:05;100;2;2,2;40;1620
Central Brioche;T D centre;16/09/2024 10:39;10:41:08;100;1;1,5;29;1265
Central Brioche;L centre;16/09/2024 10:41;12:03:28;100;82;1,2;1265;932
grouper air fra;Parcours 5;16/09/2024 12:11;12:54:26;100;43;1,4;803;1129
grouper air fra;T F af;16/09/2024 12:55;12:56:33;100;1;2,2;41;1770
Central Brioche;T D centre;17/09/2024 06:38;06:40:18;100;2;1,3;29;1071
Central Brioche;L centre;17/09/2024 06:40;07:42:13;77;61;1,2;962;945
Central Brioche;L centre;17/09/2024 07:42;08:00:24;99;18;1;256;848
grouper air fra;Parcours 5;17/09/2024 08:22;08:51:28;70;29;1,4;539;1134
grouper air fra;Parcours 5;17/09/2024 09:42;09:59:11;100;17;1,1;248;894
grouper air fra;T F af;17/09/2024 09:59;10:01:21;100;2;2,2;40;1585
Central Brioche;T D centre;17/09/2024 10:41;10:42:20;100;1;1,7;29;1381
Central Brioche;L centre;17/09/2024 10:42;11:16:15;44;33;1,2;540;975
Central Brioche;L centre;17/09/2024 11:25;12:15:25;100;50;1,1;716;866
Central Brioche;L novotel;17/09/2024 12:38;12:55:49;100;18;1,7;394;1341
Central Brioche;L brioche;17/09/2024 12:56;13:18:45;34;22;0,7;211;569
Central Brioche;T D centre;18/09/2024 06:23;06:25:23;100;2;1,4;29;1129
Central Brioche;L centre;18/09/2024 06:25;07:32:45;81;67;1,1;1032;930
grouper air fra;Parcours 5;18/09/2024 08:21;08:43:24;54;22;1,4;409;1106
grouper air fra;Parcours 5;18/09/2024 09:07;09:50:55;100;43;1,4;808;1130
grouper air fra;T F af;18/09/2024 09:51;09:53:03;100;1;2,1;40;1695
Central Brioche;T D centre;18/09/2024 10:11;10:13:25;100;1;1,5;29;1221
Central Brioche;L centre;18/09/2024 10:14;11:03:24;56;49;1,1;715;872
grouper air fra;Parcours 5;18/09/2024 11:22;11:49:57;65;27;1,4;511;1134
grouper air fra;Parcours 5;18/09/2024 12:13;12:21:40;80;9;1,3;134;1074
grouper air fra;Parcours 5;18/09/2024 12:21;12:30:46;100;9;1,3;160;1059
grouper air fra;T F af;18/09/2024 12:31;12:32:57;100;1;2,2;40;1638
Central Brioche;T D centre;19/09/2024 06:28;06:30:23;100;2;1,4;29;1105
Central Brioche;L centre;19/09/2024 06:30;07:11:08;50;40;1,2;634;951
Central Brioche;L centre;19/09/2024 07:15;07:25:01;62;10;0,9;116;726
Central Brioche;L centre;19/09/2024 07:35;08:08:07;99;32;1,1;474;884
Central Brioche;L centre;19/09/2024 08:10;08:11:17;100;1;0,9;14;688
Central Brioche;L novotel;19/09/2024 08:13;08:31:21;100;18;1,6;395;1329
Central Brioche;L brioche;19/09/2024 08:31;09:18:10;70;46;0,7;431;561
grouper air fra;Parcours 5;19/09/2024 10:05;10:49:50;100;44;1,4;808;1102
grouper air fra;T F af;19/09/2024 10:50;10:52:02;100;1;2,2;40;1657
Central Brioche;T D centre;19/09/2024 11:06;11:07:52;100;1;0,5;7;410
Central Brioche;L centre;19/09/2024 11:09;11:54:42;57;45;1,2;713;947
grouper air fra;Parcours 5;19/09/2024 12:05;12:48:32;100;43;1,4;808;1128
grouper air fra;T F af;19/09/2024 12:49;12:50:47;100;2;2,1;40;1568
Central Brioche;T D centre;20/09/2024 06:24;06:26:51;100;2;1,1;29;905
Central Brioche;L centre;20/09/2024 06:27;07:37:38;88;70;1,2;1088;933
Central Brioche;L centre;20/09/2024 07:39;07:51:37;100;12;1;162;790
Central Brioche;T D centre;20/09/2024 10:41;10:43:15;100;2;1,3;30;1037
Central Brioche;L centre;20/09/2024 10:43;10:46:35;2;3;0,7;25;545
Central Brioche;L centre;20/09/2024 10:47;11:58:21;89;71;1,1;1088;924
grouper air fra;Parcours 5;20/09/2024 12:09;12:52:26;100;43;1,4;808;1144
grouper air fra;T F af;20/09/2024 12:53;12:54:38;100;2;2,2;40;1638
Central Brioche;T D centre;23/09/2024 06:42;06:43:58;100;1;1,6;29;1346
Central Brioche;L centre;23/09/2024 06:44;07:57:33;85;73;1,1;1055;870
grouper air fra;Parcours 5;23/09/2024 09:02;09:45:25;100;43;1,4;805;1127
grouper air fra;T F af;23/09/2024 09:46;09:47:43;100;2;2;41;1549
Central Brioche;T D centre;23/09/2024 10:23;10:25:41;100;3;0,9;31;710
Central Brioche;L centre;23/09/2024 10:26;11:34:29;82;68;1,1;1053;930
grouper air fra;Parcours 5;23/09/2024 11:46;12:28:35;100;42;1,4;810;1153
grouper air fra;T F af;23/09/2024 12:29;12:30:51;100;2;2;40;1551
Central Brioche;T D centre;24/09/2024 06:48;06:49:59;100;1;1,5;29;1235
Central Brioche;L centre;24/09/2024 06:50;08:04:06;91;74;1,2;1153;937
Central Brioche;L centre;24/09/2024 08:16;08:24:31;100;8;1,1;122;868
Central Brioche;L novotel;24/09/2024 08:26;08:44:04;100;18;1,7;394;1358
Central Brioche;L brioche;24/09/2024 08:44;09:48:09;97;64;0,8;650;611
grouper air fra;Parcours 5;24/09/2024 10:26;11:09:00;100;42;1,4;803;1140
grouper air fra;T F af;24/09/2024 11:09;11:11:15;100;2;2,2;40;1585
Central Brioche;T D centre;24/09/2024 11:27;11:28:57;100;1;1,7;29;1346
Central Brioche;L centre;24/09/2024 11:29;12:43:05;92;74;1,2;1153;944
Central Brioche;T D centre;25/09/2024 06:24;06:26:13;100;1;1,5;29;1235
Central Brioche;L centre;25/09/2024 06:26;07:49:45;100;83;1,1;1251;908
Central Brioche;L novotel;25/09/2024 08:09;08:26:45;100;17;1,7;394;1369
Central Brioche;L brioche;25/09/2024 08:27;09:32:03;100;65;0,7;608;566
Central Brioche;T F brioche;25/09/2024 09:32;09:38:36;100;6;1,9;152;1531
